Name,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%
Alabama,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.02,2035.0,12.13
Arizona,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.85,2035.0,10.7
Arkansas,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.34,2030.0,5.53
California,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,5.52,2035.0,5.49
Colorado,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.35,2035.0,8.91
Connecticut,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.66,2035.0,9.79
Delaware,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.0,2035.0,10.02
District of Columbia,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.71,2035.0,7.73
Florida,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.92,2035.0,7.81
Georgia,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.54,2035.0,10.46
Idaho,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.26,2035.0,11.04
Illinois,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.66,2035.0,8.07
Indiana,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.13,2035.0,10.02
Iowa,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.4,2035.0,10.2
Kansas,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.24,2035.0,10.03
Kentucky,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.54,2035.0,11.84
Louisiana,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.07,2035.0,9.92
Maine,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.97,2030.0,6.08
Maryland,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.46,2035.0,8.48
Massachusetts,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.89,2035.0,9.02
Michigan,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.04,2035.0,8.93
Minnesota,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.95,2035.0,8.77
Mississippi,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.37,2030.0,5.08
Missouri,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.2,2035.0,10.02
Montana,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.37,2035.0,11.92
Nebraska,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.4,2035.0,10.43
Nevada,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.79,2035.0,10.28
New Hampshire,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.66,2030.0,5.01
New Jersey,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.57,2035.0,7.59
New Mexico,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.99,2035.0,9.93
New York,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.69,2035.0,8.0
North Carolina,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.13,2030.0,5.01
North Dakota,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.78,2035.0,10.75
